11:53:19.947 -> X:  -208  	Y:  1216  	Z:  15616		X: -0.12 	Y: 0.73 	Z: 9.35 m/s^2 
11:53:20.185 -> X:  -144  	Y:  1232  	Z:  15680		X: -0.09 	Y: 0.74 	Z: 9.39 m/s^2 
11:53:20.460 -> X:  -80  	Y:  1168  	Z:  15680		X: -0.05 	Y: 0.70 	Z: 9.39 m/s^2 
11:53:20.698 -> X:  -128  	Y:  1168  	Z:  15632		X: -0.08 	Y: 0.70 	Z: 9.36 m/s^2 
11:53:20.971 -> X:  -160  	Y:  1184  	Z:  15632		X: -0.10 	Y: 0.71 	Z: 9.36 m/s^2 
11:53:21.208 -> X:  -64  	Y:  1216  	Z:  15120		X: -0.11 	Y: 0.75 	Z: 9.05 m/s^2 
11:53:21.483 -> X:  -80  	Y:  1232  	Z:  15616		X: -0.05 	Y: 0.74 	Z: 9.35 m/s^2 
11:53:21.723 -> X:  -128  	Y:  1280  	Z:  15728		X: -0.08 	Y: 0.77 	Z: 9.42 m/s^2 
11:53:21.998 -> X:  -176  	Y:  1248  	Z:  15712		X: -0.07 	Y: 0.75 	Z: 9.41 m/s^2 
11:53:22.239 -> X:  -144  	Y:  1264  	Z:  15680		X: -0.09 	Y: 0.76 	Z: 9.39 m/s^2 
11:53:22.512 -> X:  -96  	Y:  1184  	Z:  15600		X: -0.06 	Y: 0.71 	Z: 9.34 m/s^2 
11:53:22.751 -> X:  -144  	Y:  1168  	Z:  15696		X: -0.09 	Y: 0.70 	Z: 9.40 m/s^2 
11:53:23.022 -> X:  -112  	Y:  1264  	Z:  15632		X: -0.07 	Y: 0.76 	Z: 9.36 m/s^2 
11:53:23.263 -> X:  -128  	Y:  1280  	Z:  15632		X: -0.08 	Y: 0.77 	Z: 9.36 m/s^2 
11:53:23.503 -> X:  -80  	Y:  1264  	Z:  15680		X: -0.05 	Y: 0.76 	Z: 9.39 m/s^2 
11:53:23.780 -> X:  -96  	Y:  1152  	Z:  15744		X: -0.06 	Y: 0.69 	Z: 9.43 m/s^2 
11:53:24.017 -> X:  -128  	Y:  1264  	Z:  15744		X: -0.08 	Y: 0.76 	Z: 9.43 m/s^2 
11:53:24.290 -> X:  -112  	Y:  1216  	Z:  15680		X: -0.07 	Y: 0.73 	Z: 9.39 m/s^2 
11:53:24.529 -> X:  -144  	Y:  1200  	Z:  15632		X: -0.09 	Y: 0.72 	Z: 9.36 m/s^2 
11:53:24.801 -> X:  -80  	Y:  1200  	Z:  15552		X: -0.05 	Y: 0.72 	Z: 9.31 m/s^2 
11:53:25.040 -> X:  -144  	Y:  1264  	Z:  15664		X: -0.09 	Y: 0.76 	Z: 9.38 m/s^2 
11:53:25.316 -> X:  -80  	Y:  1216  	Z:  15616		X: -0.05 	Y: 0.73 	Z: 9.35 m/s^2 
11:53:25.554 -> X:  -128  	Y:  1152  	Z:  15712		X: -0.23 	Y: 0.75 	Z: 9.70 m/s^2 
11:53:25.830 -> X:  -80  	Y:  1232  	Z:  15648		X: -0.05 	Y: 0.74 	Z: 9.37 m/s^2 
11:53:26.068 -> X:  -160  	Y:  1280  	Z:  15680		X: -0.10 	Y: 0.77 	Z: 9.39 m/s^2 
11:53:26.308 -> X:  -160  	Y:  1184  	Z:  15680		X: -0.05 	Y: 0.71 	Z: 9.39 m/s^2 
11:53:26.583 -> X:  -144  	Y:  1248  	Z:  15712		X: -0.09 	Y: 0.75 	Z: 9.41 m/s^2 
11:53:26.824 -> X:  -96  	Y:  1200  	Z:  15696		X: -0.06 	Y: 0.72 	Z: 9.40 m/s^2 
11:53:27.098 -> X:  -144  	Y:  1184  	Z:  15648		X: -0.09 	Y: 0.71 	Z: 9.37 m/s^2 
11:53:27.341 -> X:  -96  	Y:  1184  	Z:  15680		X: -0.06 	Y: 0.71 	Z: 9.39 m/s^2 
11:53:27.618 -> X:  -160  	Y:  1216  	Z:  15648		X: -0.10 	Y: 0.73 	Z: 9.37 m/s^2 
11:53:27.861 -> X:  -128  	Y:  1184  	Z:  15680		X: -0.08 	Y: 0.71 	Z: 9.39 m/s^2 
11:53:28.102 -> X:  -112  	Y:  1184  	Z:  15648		X: -0.07 	Y: 0.71 	Z: 9.37 m/s^2 
11:53:28.377 -> X:  -96  	Y:  1184  	Z:  15664		X: -0.06 	Y: 0.71 	Z: 9.38 m/s^2 
11:53:28.618 -> X:  -144  	Y:  1152  	Z:  15632		X: -0.09 	Y: 0.69 	Z: 9.36 m/s^2 
11:53:28.889 -> X:  -144  	Y:  1216  	Z:  15616		X: -0.09 	Y: 0.73 	Z: 9.35 m/s^2 
11:53:29.131 -> X:  -80  	Y:  1168  	Z:  15728		X: -0.05 	Y: 0.70 	Z: 9.42 m/s^2 
11:53:29.371 -> X:  -208  	Y:  1168  	Z:  15584		X: -0.12 	Y: 0.70 	Z: 9.33 m/s^2 
11:53:29.648 -> X:  -96  	Y:  1216  	Z:  15616		X: -0.06 	Y: 0.73 	Z: 9.35 m/s^2 
11:53:29.889 -> X:  -144  	Y:  1184  	Z:  15328		X: -0.18 	Y: 0.72 	Z: 9.18 m/s^2 
11:53:30.163 -> X:  -112  	Y:  1200  	Z:  15616		X: -0.07 	Y: 0.72 	Z: 9.35 m/s^2 
11:53:30.405 -> X:  -160  	Y:  1152  	Z:  15760		X: -0.10 	Y: 0.84 	Z: 9.43 m/s^2 
11:53:30.677 -> X:  -160  	Y:  1136  	Z:  15664		X: -0.05 	Y: 0.74 	Z: 9.38 m/s^2 
11:53:30.920 -> X:  -96  	Y:  1248  	Z:  15632		X: -0.06 	Y: 0.75 	Z: 9.36 m/s^2 
11:53:31.160 -> X:  -128  	Y:  1184  	Z:  15712		X: -0.08 	Y: 0.71 	Z: 9.41 m/s^2 
11:53:31.435 -> X:  -160  	Y:  1232  	Z:  15616		X: -0.10 	Y: 0.74 	Z: 9.35 m/s^2 
11:53:31.672 -> X:  -96  	Y:  1184  	Z:  15664		X: -0.06 	Y: 0.71 	Z: 9.38 m/s^2 
11:53:31.943 -> X:  -96  	Y:  1248  	Z:  15664		X: -0.06 	Y: 0.75 	Z: 9.38 m/s^2 
11:53:32.180 -> X:  -80  	Y:  1168  	Z:  15664		X: -0.05 	Y: 0.70 	Z: 9.38 m/s^2 
11:53:32.456 -> X:  -112  	Y:  1248  	Z:  15680		X: -0.07 	Y: 0.75 	Z: 9.39 m/s^2 
11:53:32.695 -> X:  -160  	Y:  1232  	Z:  15680		X: -0.10 	Y: 0.74 	Z: 9.39 m/s^2 
11:53:32.969 -> X:  -80  	Y:  1152  	Z:  15664		X: -0.05 	Y: 0.69 	Z: 9.38 m/s^2 
11:53:33.207 -> X:  -96  	Y:  1168  	Z:  15648		X: -0.06 	Y: 0.70 	Z: 9.37 m/s^2 
11:53:33.481 -> X:  -112  	Y:  1200  	Z:  15824		X: -0.07 	Y: 0.72 	Z: 9.47 m/s^2 
11:53:33.722 -> X:  -112  	Y:  1168  	Z:  15728		X: -0.07 	Y: 0.70 	Z: 9.42 m/s^2 
11:53:33.996 -> X:  -128  	Y:  1184  	Z:  15568		X: -0.08 	Y: 0.71 	Z: 9.32 m/s^2 
11:53:34.239 -> X:  -128  	Y:  1248  	Z:  15712		X: -0.16 	Y: 0.75 	Z: 9.41 m/s^2 
11:53:34.484 -> X:  -64  	Y:  1232  	Z:  15616		X: -0.04 	Y: 0.74 	Z: 9.35 m/s^2 
11:53:34.759 -> X:  -112  	Y:  1136  	Z:  15616		X: -0.07 	Y: 0.83 	Z: 9.18 m/s^2 
11:53:35.000 -> X:  -48  	Y:  1040  	Z:  15664		X: -0.04 	Y: 0.72 	Z: 9.38 m/s^2 
11:53:35.240 -> X:  -192  	Y:  1248  	Z:  15648		X: -0.11 	Y: 0.75 	Z: 9.37 m/s^2 
11:53:35.512 -> X:  -128  	Y:  1216  	Z:  15600		X: -0.08 	Y: 0.73 	Z: 9.34 m/s^2 
11:53:35.749 -> X:  -96  	Y:  1264  	Z:  15696		X: -0.06 	Y: 0.76 	Z: 9.40 m/s^2 
11:53:36.024 -> X:  -112  	Y:  1168  	Z:  15552		X: -0.07 	Y: 0.70 	Z: 9.31 m/s^2 
11:53:36.261 -> X:  -96  	Y:  1184  	Z:  15696		X: -0.06 	Y: 0.71 	Z: 9.40 m/s^2 
11:53:36.536 -> X:  -160  	Y:  1184  	Z:  15648		X: -0.10 	Y: 0.71 	Z: 9.37 m/s^2 
11:53:36.774 -> X:  -64  	Y:  1216  	Z:  15584		X: -0.04 	Y: 0.73 	Z: 9.33 m/s^2 
11:53:37.048 -> X:  -144  	Y:  1232  	Z:  15728		X: -0.09 	Y: 0.74 	Z: 9.42 m/s^2 
11:53:37.292 -> X:  -128  	Y:  1168  	Z:  15664		X: -0.08 	Y: 0.70 	Z: 9.38 m/s^2 
11:53:37.568 -> X:  -144  	Y:  1200  	Z:  15712		X: -0.09 	Y: 0.72 	Z: 9.41 m/s^2 
11:53:37.805 -> X:  -144  	Y:  1200  	Z:  15696		X: -0.09 	Y: 0.72 	Z: 9.40 m/s^2 
11:53:38.080 -> X:  -112  	Y:  1184  	Z:  15712		X: -0.07 	Y: 0.71 	Z: 9.41 m/s^2 
11:53:38.320 -> X:  -160  	Y:  1200  	Z:  15664		X: -0.10 	Y: 0.72 	Z: 9.38 m/s^2 
11:53:38.590 -> X:  -80  	Y:  1280  	Z:  15744		X: -0.05 	Y: 0.77 	Z: 9.43 m/s^2 
11:53:38.830 -> X:  -144  	Y:  1200  	Z:  15664		X: -0.09 	Y: 0.72 	Z: 9.38 m/s^2 
11:53:39.067 -> X:  -128  	Y:  1216  	Z:  15696		X: -0.03 	Y: 0.70 	Z: 9.52 m/s^2 
11:53:39.341 -> X:  -128  	Y:  1232  	Z:  15584		X: -0.08 	Y: 0.74 	Z: 9.33 m/s^2 
11:53:39.579 -> X:  -112  	Y:  1152  	Z:  15584		X: -0.07 	Y: 0.69 	Z: 9.33 m/s^2 
11:53:39.851 -> X:  -144  	Y:  1184  	Z:  15664		X: -0.09 	Y: 0.71 	Z: 9.38 m/s^2 
